r,f(r),b(r),bp(r),H(r),Hp(r),w(r),col9,col10,col11
1.7787,0.3731,0.3906,0.4799,0.9705,0.1047,0.0988,-0.0565,0.0011305,-0.3642
1.8008,0.3843,0.4011,0.4718,0.9727,0.0965,0.0946,-0.0581,-0.00059154,-0.3663
1.8238,0.3959,0.4119,0.4634,0.9749,0.0886,0.0905,-0.0592,-0.0021609,-0.3677
1.8469,0.4072,0.4225,0.4549,0.9768,0.0814,0.0866,-0.0596,-0.0035171,-0.3681
1.8701,0.4184,0.433,0.4463,0.9786,0.0748,0.0828,-0.0596,-0.0046905,-0.3677
1.8934,0.4294,0.4433,0.4378,0.9803,0.0686,0.0792,-0.0592,-0.0056854,-0.3665
1.9171,0.4404,0.4535,0.4291,0.9819,0.063,0.0758,-0.0584,-0.0065314,-0.3647
1.9407,0.4511,0.4636,0.4205,0.9833,0.0578,0.0726,-0.0574,-0.0072291,-0.3623
1.9649,0.4618,0.4737,0.4118,0.9846,0.0529,0.0694,-0.0561,-0.0078068,-0.3592
1.9892,0.4723,0.4835,0.4031,0.9858,0.0485,0.0664,-0.0546,-0.0082614,-0.3556
2.0142,0.4829,0.4935,0.3943,0.987,0.0443,0.0635,-0.0529,-0.0086169,-0.3515
2.0392,0.4932,0.5032,0.3855,0.9881,0.0405,0.0607,-0.0511,-0.0088712,-0.3469
2.0651,0.5037,0.5131,0.3766,0.9891,0.0369,0.0579,-0.0492,-0.0090423,-0.3418
2.0911,0.5139,0.5228,0.3678,0.99,0.0337,0.0554,-0.0472,-0.0091317,-0.3364
2.1182,0.5243,0.5327,0.3588,0.9909,0.0306,0.0528,-0.0451,-0.0091505,-0.3304
2.1453,0.5344,0.5423,0.3499,0.9917,0.0279,0.0504,-0.043,-0.0091051,-0.3242
2.1738,0.5448,0.5521,0.3407,0.9924,0.0252,0.048,-0.0408,-0.0089999,-0.3175
2.2023,0.5548,0.5617,0.3318,0.9931,0.0229,0.0457,-0.0387,-0.0088462,-0.3106
2.2323,0.5651,0.5715,0.3226,0.9937,0.0206,0.0435,-0.0365,-0.0086418,-0.3031
2.2624,0.5751,0.5811,0.3136,0.9943,0.0186,0.0414,-0.0343,-0.0084035,-0.2956
2.2943,0.5854,0.5909,0.3043,0.9949,0.0167,0.0393,-0.0322,-0.0081226,-0.2876
2.3262,0.5953,0.6005,0.2952,0.9954,0.015,0.0373,-0.0301,-0.007821,-0.2795
2.3602,0.6056,0.6103,0.2859,0.9959,0.0134,0.0353,-0.028,-0.0074842,-0.271
2.3942,0.6155,0.6199,0.2768,0.9963,0.012,0.0334,-0.026,-0.0071384,-0.2624
2.4306,0.6258,0.6298,0.2674,0.9967,0.0106,0.0316,-0.024,-0.0067642,-0.2534
2.4671,0.6357,0.6394,0.2583,0.9971,0.009444,0.0299,-0.0222,-0.0063917,-0.2446
2.5063,0.646,0.6494,0.2489,0.9974,0.0083186,0.0281,-0.0203,-0.0059969,-0.2352
2.5456,0.6559,0.659,0.2399,0.9977,0.0073348,0.0265,-0.0186,-0.0056131,-0.226
2.5882,0.6662,0.669,0.2304,0.998,0.0064061,0.0249,-0.0169,-0.0052126,-0.2164
2.6308,0.6761,0.6786,0.2214,0.9983,0.005601,0.0234,-0.0154,-0.004831,-0.2071
2.6772,0.6864,0.6887,0.212,0.9985,0.004844,0.0218,-0.0138,-0.0044383,-0.1973
2.7236,0.6963,0.6983,0.2031,0.9987,0.0041939,0.0204,-0.0124,-0.0040708,-0.1879
2.7735,0.7064,0.7082,0.194,0.9989,0.0035967,0.0191,-0.0111,-0.0037046,-0.1782
2.8233,0.716,0.7176,0.1853,0.9991,0.0030879,0.0178,-0.0099183,-0.0033673,-0.169
2.8767,0.7259,0.7273,0.1766,0.9993,0.0026252,0.0165,-0.0087902,-0.003037,-0.1597
2.93,0.7352,0.7365,0.1683,0.9994,0.0022337,0.0154,-0.0077941,-0.0027369,-0.1508
2.9873,0.7448,0.7459,0.1599,0.9995,0.0018795,0.0143,-0.0068542,-0.0024461,-0.1419
3.0447,0.7539,0.7548,0.152,0.9996,0.0015823,0.0133,-0.0060326,-0.0021854,-0.1335
3.1065,0.7632,0.764,0.144,0.9997,0.0013147,0.0123,-0.005262,-0.001935,-0.125
3.1683,0.7719,0.7726,0.1366,0.9998,0.0010923,0.0114,-0.0045952,-0.0017135,-0.1171
3.2352,0.7809,0.7815,0.129,0.9998,0.00089328,0.0105,-0.0039737,-0.0015026,-0.1091
3.3021,0.7894,0.7899,0.1219,0.9999,0.0007297,0.0096549,-0.0034415,-0.0013182,-0.1018
3.3743,0.798,0.7985,0.1149,0.9999,0.00058548,0.0088682,-0.0029523,-0.0011456,-0.0944
3.4465,0.8062,0.8065,0.1083,1.0,0.00046831,0.0081594,-0.0025375,-0.00099646,-0.0877
3.5213,0.8141,0.8144,0.102,1.0,0.00036983,0.0074972,-0.0021734,-0.00086333,-0.0813
3.5962,0.8215,0.8218,0.0961,1.0,0.00029018,0.0069004,-0.0018655,-0.00074896,-0.0754
3.6737,0.8288,0.829,0.0905,1.0,0.0002236,0.0063428,-0.001596,-0.00064733,-0.0698
3.7513,0.8357,0.8358,0.0853,1.0001,0.00017007,0.00584,-0.0013685,-0.00056037,-0.0647
3.8322,0.8424,0.8425,0.0802,1.0001,0.00012535,0.005367,-0.0011684,-0.00048289,-0.0599
3.9131,0.8487,0.8488,0.0756,1.0001,8.9743e-05,0.0049407,-0.0010001,-0.00041687,-0.0554
3.9981,0.855,0.855,0.071,1.0001,6.0187e-05,0.0045376,-0.00085166,-0.00035799,-0.0512
4.083,0.8609,0.8609,0.0669,1.0001,3.6996e-05,0.0041746,-0.00072718,-0.00030805,-0.0473
4.1726,0.8667,0.8667,0.0628,1.0001,1.7997e-05,0.0038301,-0.0006173,-0.00026351,-0.0436
4.2622,0.8721,0.8722,0.059,1.0001,3.4171e-06,0.0035203,-0.00052551,-0.00022593,-0.0403
4.3571,0.8776,0.8776,0.0554,1.0001,-8.2498e-06,0.0032255,-0.00044448,-0.00019244,-0.037
4.4519,0.8827,0.8827,0.052,1.0001,-1.6889e-05,0.0029608,-0.00037709,-0.00016433,-0.0341
4.5528,0.8878,0.8878,0.0487,1.0001,-2.3508e-05,0.0027084,-0.00031764,-0.00013932,-0.0313
4.6536,0.8925,0.8925,0.0457,1.0001,-2.8098e-05,0.0024822,-0.00026844,-0.00011845,-0.0288
4.7613,0.8973,0.8973,0.0427,1.0001,-3.1298e-05,0.0022663,-0.00022509,-9.9913e-05,-0.0264
4.8689,0.9017,0.9017,0.04,1.0001,-3.3183e-05,0.0020733,-0.0001894,-8.4538e-05,-0.0242
4.9841,0.9062,0.9062,0.0373,1.0001,-3.4126e-05,0.0018888,-0.00015802,-7.0921e-05,-0.0221
5.0993,0.9104,0.9103,0.0349,1.0001,-3.4262e-05,0.0017243,-0.00013234,-5.9696e-05,-0.0202
5.2232,0.9145,0.9145,0.0325,1.0001,-3.3773e-05,0.001567,-0.00010981,-4.9786e-05,-0.0184
5.347,0.9184,0.9184,0.0303,1.0001,-3.2836e-05,0.0014272,-9.1481e-05,-4.1672e-05,-0.0168
